,review,sentiment,mixed,negative,neutral,positive,Problematic
0,I keep getting logged out of the Facebook app several times a day. Please update and fix this,NEUTRAL,0.000340874,0.004575401,0.90290463,0.092179105,0
1,Latest update is terrible.  Back button doesn’t work.  Not very stable,NEGATIVE,5.59E-06,0.96270293,0.034085274,0.003206288,0
2,The latest update is full of glitches on the iPad app. The top bar on the top isn’t working. The back arrow on the left and drop downs on the right corner do not work at all.,NEGATIVE,1.09E-06,0.999713719,0.00025291,3.23E-05,0
3,With new iPad update version 14. Come on Facebook stay up to date already I don’t want to miss a minute of the election returns.,NEGATIVE,2.93E-06,0.999443829,0.000478026,7.52E-05,0
4,The latest update of FB has left me unable to get to my own wall or to make any changes in my profile or even to look at it.  The link to Messenger is not working nor is the back button at the top of the page.  I expected more of FB.,NEUTRAL,5.72E-06,0.201556414,0.509654522,0.288783371,1
5,The back button is still not working until it is tapped about 15 times .  Tired of all your shutdowns and fact-checkers and Anti-Trump ways.,NEGATIVE,6.95E-07,0.999255598,0.000581955,0.000161793,0
6,"I was recently banned for 7 days from Facebook for making a post that was not deemed to follow “Facebook standards”
The post was not offensive in the slightest.
Yet someone was allowed due to a certain political ideology to deem my post as not following the community (communist) standards. I was blown away at how much censorship Facebook is responsible for so close to the election. They are totally put of control and need to be put in check. 
Freedom 2020",NEGATIVE,9.87E-07,0.98230505,0.017167497,0.000526436,0
7,"Does anyone else have same issue, where the back arrow doesnt work properly.",NEUTRAL,5.86E-06,0.35497424,0.638947368,0.006072622,0
8,The app is great I have a fun time using it but a problem I have is when I try to put multiple stories at the same time and when I put all of them some people can’t see some.I have to go to my story and press on it to see everything. This is fix that need to happen quickly.,NEUTRAL,0.005623628,0.309361607,0.512761414,0.172253266,0
9,Armenians who work in facebook restrict azerbaijani users for their ethnicity. It is act of nationalism and facebook team should do something to handle it,NEGATIVE,0.003863266,0.888512969,0.077989608,0.029634269,0
10,"not sure if this is a bug in the recent app up date, or in the ipad update, but the back arrow in the top left blue section on my facebook app has stopped working and never goes, even when I have not been into something.

Everything is good otherwise, and I use the app two or three times a day everyday.  Could you look into and correct if it is an issue with the app, or let us know if there is another cause",NEUTRAL,3.68E-06,0.000858533,0.998889029,0.000248803,0
11,"On iPad the marketplace basically does not work, crashes regularly when scrolling categories, sort system not reliable and search is inaccurate and shows much fewer items than are available. 
Why can’t they also have a time limit as nobody wants to see items which have been listed months ago and the seller just didn’t bother to remove",NEGATIVE,7.74E-05,0.736045241,0.258889765,0.004987594,0
12,"This social become very dangerous , all the data it’s spread everywhere... I cancel my account after ages. Happy to be without",MIXED,0.987213731,0.008460317,0.000164628,0.004161242,1
13,New version has a bug so I can now no longer log in,NEGATIVE,1.61E-05,0.848819852,0.14788276,0.00328138,0
14,"Giving this app only 3 stars because the back button on the top left corner of the app does not press no matter how many times I tap it. Thought I was having touchscreen issues, but that area of the screen works just fine when I use other apps",NEGATIVE,8.25E-07,0.997951329,0.001855922,0.000192021,0
15,No freedom! I can’t practice my right and freedom to express my ideas. They always remove my comments and freeze my account. No freedom any more. Very controlling!,NEUTRAL,0.015659846,0.019259486,0.932076573,0.033004165,1
16,"hacked violating and defrauding by russian speaking who assume identities of defrauded like myself these group of hate drrmiven anti americans are violent foreign nationals who reside in America and reportedly have a goal of globalizing ""russian supreme society GLOBALLY""  this ishoreyfying what these evil under 45 yo do for over dour years",MIXED,0.776796818,0.038614657,0.052693285,0.131895244,0
17,Silences third party voters.,NEGATIVE,3.31E-07,0.996308625,0.003558127,0.000132878,0
18,As above. Doesn’t work so constantly coming in and out of app. You lose original search. Also the ads are unreal and a lot are fake or spam. Doesn’t update. Even after refresh I get shown stuff from 3 days ago despite it being at top of all others. Needs updated with ads in one area. Not all over my news feed!,NEGATIVE,1.03E-05,0.912636042,0.085252546,0.002101111,0
19,"Dec 2019 - Please can you fix the app as it is not showing recent feeds when I select “most recent”. I can only see the most recent feeds amongst old feeds when I scroll through “news feeds”. 

As if the app wasn't annoying enough before when I had to keep re-selecting ""most recent"" to filter to what I want to see, now I don't have the option. I don't want to see posts from 27 hours ago mixed in with posts 10 seconds ago. Sort it out FB!!

August 2018 - now it’s even worse! Even if you select “most recent” you get posts from over 24 hours ago!
Come on Facebook, you are meant to be the benchmark for social networking, you should be improving with time, not declining!!

November 2020 - why do I have to hunt through a long list to get to the most recent button? This should be the default! And please stop keep changing the order of the large buttons too!",NEGATIVE,3.09E-05,0.518116713,0.422252029,0.059600353,0
20,"If you leave the app for just a second, maybe to google something, then go back to the app to finish reading the article you were reading or finish watching the video you were half way through, the app refreshes itself without warning, you’re back at the top of your news feed which has now changed and you have no way of finding where you just were to continue where you left off. What makes it more frustrating is it doesn’t always do this which means the app is capable of remembering where you were, it just chooses not to.",NEGATIVE,9.73E-07,0.991848111,0.007571406,0.000579475,0
21,Utter rubbish nothing works correctly and constantly bombarded with adverts for gambling and alcohol,MIXED,0.768279135,0.178732544,0.005819968,0.047168393,1
22,Last update broke the app it intermittently says no internet while all my other apps including messenger work fine.,NEGATIVE,4.38E-06,0.978541851,0.016187938,0.005265757,0
23,"In addition to the “friends except:” option, I would appreciate being able to make a post public with exceptions",NEGATIVE,0.002302882,0.954256892,0.042256705,0.001183483,1
24,"This latest update was around 10/26/2020 and in the 6 days since the release, my data usage from the app has increased significantly.",NEUTRAL,4.85E-07,0.001497557,0.997729123,0.000772913,0
25,"The most recent version update last week on my iPad 6 and has a couple issues.

<   back button at top left refuses to work. Tap tap tap ....nothing.

Also an ongoing issue is when I get a notification for a post, I click on it and sometimes it takes me to the post....other times I have to use search bar to figure out who reacted or comment. 

When I go to settings menu it shrinks page. Like it thinks it is iPhone version not iPad version. Twitter has some replies to my post saying they have same issue,

PLEASE FIX THESE PRONTO!!!",NEGATIVE,6.20E-07,0.999036193,0.000849974,0.000113232,0
26,Facebook has been caught red handed handing out info what does that make you feel about the app?,NEGATIVE,1.38E-06,0.886509001,0.111935429,0.001554252,0
27,"A company that makes it money selling out America and spying on you.  

Not only should you never use this app or their site, you should contact your senator and demand they regulate this company out of existence.",NEUTRAL,0.015659846,0.019259486,0.932076573,0.033004165,1
28,Una app que va de mal en peor pésima,NEGATIVE,1.95E-06,0.995873511,0.003082969,0.001041613,0
29,You can’t buy or sell dogs in your community but they have groups that sell em stupid! Got reported for making a post saying “im looking to buy a dog” and now I can’t use my Facebook for a day🤬 messenger barely works already as it is never again will I get Facebook! It’s trash!,NEUTRAL,0.015659846,0.019259486,0.932076573,0.033004165,1
30,A error message keeps popping up on my screen and I can’t log on the Facebook app 🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️ help ???,NEGATIVE,1.51E-05,0.966710567,0.032815475,0.000458779,0
31,I’ve been on Facebook for about a year now and I’ve never had problems logging on. Recently I’ve gotten a new phone and the app just takes me on a constant loop of uploading my ID and adding an email address. Once I provide that information the app informs me that it’s going to log me out. When I try to log in again I have to go through the same process of providing my ID and email. Jesus guys.,NEGATIVE,1.31E-05,0.425361872,0.277128905,0.29749617,0
32,"I have my active status off but now with the ‘rooms’ feature everyone can see if you’re online so pointless - please remove this.
Also, when posting a pic I can’t access my albums anymore",NEUTRAL,0.015659846,0.019259486,0.932076573,0.033004165,0
33,"Just had the latest update on my iPad Pro, now the back button top left doesn’t do anything. Fix this annoying bug please",NEGATIVE,0.000756269,0.758226633,0.226428971,0.014588126,0
34,Make the damn Spotify preview work properly!! It’s constantly temperamental..and since the last 2 updates has stopped working completely,NEGATIVE,3.16E-05,0.928164721,0.055808041,0.015995678,0
35,"As of 02/11/20 the app keeps freezing on an Iphone 10 (latest update).

Whenever I try to react to a post the entire app freezes and forces me to restart the app which ruins the entire experince.",NEGATIVE,1.40E-06,0.989349604,0.010443144,0.00020594,0
36,Since update the tool bar and back arrow does not function.  I have a iPad,NEGATIVE,9.46E-05,0.99775213,0.001320437,0.000832882,0
37,It’s now required to select which option you would like your photos to be shared since the latest update. The update froze the “photo access” making it unable to select an option & post from my camera roll. 😡,NEUTRAL,1.27E-05,0.007013968,0.781174064,0.211799249,1
38,This sounds like someone I know lol !! Ha,NEUTRAL,0.001665834,0.329440653,0.429653168,0.239240333,0
39,I randomly got logged out of my account and the only way to log back in is getting a code from a number I no longer have. I followed the link offered to get help and after filling out the form I says the link is broken or the page is missing. What is going on? I usually love Facebook but I’m very unhappy right now and there’s no customer support to contact.,NEGATIVE,8.84E-06,0.977560937,0.022000764,0.000429452,0
40,"All the buttons (except the search box) at the top of the screen suddenly do not work. You can’t click < “Back” to go back. Can’t click on Messenger, nothing. Also, if you try to crop a photo before posting it, the posted version isn’t cropped!",NEUTRAL,0.015659846,0.019259486,0.932076573,0.033004165,1
41,Porque no me aparece la opción de Facebook parejas,NEGATIVE,5.97E-07,0.99797529,0.001971642,5.25E-05,0
42,"The last update leaves a “back” arrow at the top left of the screen that will not work.  <  ...this is frustrating to say the least , especially when you are in a page and need to go back, the button just doesn’t work!",NEUTRAL,0.015659846,0.019259486,0.932076573,0.033004165,1
43,Title says it all.,NEGATIVE,3.35E-06,0.924814343,0.074013807,0.001168525,0
44,"I have always been so pleased with the Facebook App, however, when my iPad operating system last updated, the app didn’t catch up.  I have deleted and reloaded the app numerous times.  I have checked every possible setting, but still bugs, bugs, bugs.  Several of the blue tab features at the top will only work when reloaded, but just for one opportunity.  I hope this can be remedied soon.  Thank you!",NEUTRAL,0.015659846,0.019259486,0.932076573,0.033004165,1
45,"I get ""kicked off"" arbitrarily when viewing pics.",NEGATIVE,0.043828662,0.878542662,0.038239367,0.039389368,0
46,Saved videos dont play past 10 seconds and wont scroll to the next one,NEUTRAL,0.015659846,0.019259486,0.932076573,0.033004165,0
47,So I posted something that goes against policy and got a 24 hour ban could not challenge it. And now it’s been 24 hours and I can’t log on at all. When I try logging on it says I have 24 hour ban  I hit continue button and get another message that I can’t log on and Facebook is working on the problem yet my wife can log on no problem What gives? Also tried to creat new account and can’t do that ether,NEUTRAL,6.39E-06,0.191239998,0.471211493,0.337542117,0
48,My iPhone is not letting me use Facebook with my cellular data,NEUTRAL,5.35E-06,0.368883163,0.628367066,0.002744465,0
49,"as the title says.
trash.

the poorman's social media platform.
trash.

the place grandma goes to post a rage face and call it comedy.
trash.

y'all are lucky that FB is still as popular in 3rd world countries, since it's one of the only reliable ways to send cheap texts. nonetheless.
trash.

data leak scandals, political influencing, rampant bot account issues, lack of transparency & security of user data. 
(say it with me,) trash.",NEGATIVE,5.44E-05,0.82159555,0.146959394,0.031390615,0
50,That’s all I need to say,NEUTRAL,0.015659846,0.019259486,0.932076573,0.033004165,0
51,"No privacy, and doesn’t work at nights, nothing would load.",NEGATIVE,1.77E-06,0.970288992,0.028512232,0.001196994,0
52,I would love to have dark mode. I’m sure millions of other would love to too.,NEGATIVE,9.57E-07,0.99928683,0.000599394,0.000112817,1
53,"For the love of god, make dark mode available to us.",NEGATIVE,2.81E-07,0.998636425,0.001266906,9.64E-05,0
54,"I’m becoming overly annoyed that none of my pictures and videos will upload...I’ve been waiting now 5 hours for 5 pictures to load and it won’t work! Plus this isn’t the first my this scraps happened.

However many days later it still can’t post a group of pictures of myself....really but y’all let the group of pictures of my kids load and post. Doesn’t make any sense....",NEGATIVE,1.81E-06,0.993684471,0.005527528,0.0007862,0
55,"I want the new dark mode Facebook, but every time I go to check to see if I can do it, the option isn’t there. My app is so called “up to date”, but I still don’t have the option!",NEGATIVE,3.52E-05,0.719280243,0.206060976,0.074623615,0
56,"Last night, the FB app and icon spontaneously disappeared from my phone. I reloaded from App Store, but it continues to be gone. What’s happening?",NEGATIVE,1.04E-05,0.726457775,0.252767384,0.020764349,0
