,review,label
0,I keep getting logged out of the Facebook app several times a day. Please update and fix this,0
1,Latest update is terrible.  Back button doesn’t work.  Not very stable,0
2,The latest update is full of glitches on the iPad app. The top bar on the top isn’t working. The back arrow on the left and drop downs on the right corner do not work at all.,0
3,With new iPad update version 14. Come on Facebook stay up to date already I don’t want to miss a minute of the election returns.,0
4,The latest update of FB has left me unable to get to my own wall or to make any changes in my profile or even to look at it.  The link to Messenger is not working nor is the back button at the top of the page.  I expected more of FB.,1
5,The back button is still not working until it is tapped about 15 times .  Tired of all your shutdowns and fact-checkers and Anti-Trump ways.,0
6,"I was recently banned for 7 days from Facebook for making a post that was not deemed to follow “Facebook standards”
The post was not offensive in the slightest.
Yet someone was allowed due to a certain political ideology to deem my post as not following the community (communist) standards. I was blown away at how much censorship Facebook is responsible for so close to the election. They are totally put of control and need to be put in check. 
Freedom 2020",0
7,"Does anyone else have same issue, where the back arrow doesnt work properly.",0
8,The app is great I have a fun time using it but a problem I have is when I try to put multiple stories at the same time and when I put all of them some people can’t see some.I have to go to my story and press on it to see everything. This is fix that need to happen quickly.,0
9,Armenians who work in facebook restrict azerbaijani users for their ethnicity. It is act of nationalism and facebook team should do something to handle it,0
10,"not sure if this is a bug in the recent app up date, or in the ipad update, but the back arrow in the top left blue section on my facebook app has stopped working and never goes, even when I have not been into something.

Everything is good otherwise, and I use the app two or three times a day everyday.  Could you look into and correct if it is an issue with the app, or let us know if there is another cause",0
11,"On iPad the marketplace basically does not work, crashes regularly when scrolling categories, sort system not reliable and search is inaccurate and shows much fewer items than are available. 
Why can’t they also have a time limit as nobody wants to see items which have been listed months ago and the seller just didn’t bother to remove",0
12,"This social become very dangerous , all the data it’s spread everywhere... I cancel my account after ages. Happy to be without",1
13,New version has a bug so I can now no longer log in,0
14,"Giving this app only 3 stars because the back button on the top left corner of the app does not press no matter how many times I tap it. Thought I was having touchscreen issues, but that area of the screen works just fine when I use other apps",0
15,No freedom! I can’t practice my right and freedom to express my ideas. They always remove my comments and freeze my account. No freedom any more. Very controlling!,1
16,"hacked violating and defrauding by russian speaking who assume identities of defrauded like myself these group of hate drrmiven anti americans are violent foreign nationals who reside in America and reportedly have a goal of globalizing ""russian supreme society GLOBALLY""  this ishoreyfying what these evil under 45 yo do for over dour years",0
17,Silences third party voters.,0
18,As above. Doesn’t work so constantly coming in and out of app. You lose original search. Also the ads are unreal and a lot are fake or spam. Doesn’t update. Even after refresh I get shown stuff from 3 days ago despite it being at top of all others. Needs updated with ads in one area. Not all over my news feed!,0
19,"Dec 2019 - Please can you fix the app as it is not showing recent feeds when I select “most recent”. I can only see the most recent feeds amongst old feeds when I scroll through “news feeds”. 

As if the app wasn't annoying enough before when I had to keep re-selecting ""most recent"" to filter to what I want to see, now I don't have the option. I don't want to see posts from 27 hours ago mixed in with posts 10 seconds ago. Sort it out FB!!

August 2018 - now it’s even worse! Even if you select “most recent” you get posts from over 24 hours ago!
Come on Facebook, you are meant to be the benchmark for social networking, you should be improving with time, not declining!!

November 2020 - why do I have to hunt through a long list to get to the most recent button? This should be the default! And please stop keep changing the order of the large buttons too!",0
20,"If you leave the app for just a second, maybe to google something, then go back to the app to finish reading the article you were reading or finish watching the video you were half way through, the app refreshes itself without warning, you’re back at the top of your news feed which has now changed and you have no way of finding where you just were to continue where you left off. What makes it more frustrating is it doesn’t always do this which means the app is capable of remembering where you were, it just chooses not to.",0
21,Utter rubbish nothing works correctly and constantly bombarded with adverts for gambling and alcohol,1
22,Last update broke the app it intermittently says no internet while all my other apps including messenger work fine.,0
23,"In addition to the “friends except:” option, I would appreciate being able to make a post public with exceptions",1
24,"This latest update was around 10/26/2020 and in the 6 days since the release, my data usage from the app has increased significantly.",0
25,"The most recent version update last week on my iPad 6 and has a couple issues.

<   back button at top left refuses to work. Tap tap tap ....nothing.

Also an ongoing issue is when I get a notification for a post, I click on it and sometimes it takes me to the post....other times I have to use search bar to figure out who reacted or comment. 

When I go to settings menu it shrinks page. Like it thinks it is iPhone version not iPad version. Twitter has some replies to my post saying they have same issue,

PLEASE FIX THESE PRONTO!!!",0
26,Facebook has been caught red handed handing out info what does that make you feel about the app?,0
27,"A company that makes it money selling out America and spying on you.  

Not only should you never use this app or their site, you should contact your senator and demand they regulate this company out of existence.",1
28,Una app que va de mal en peor pésima,0
29,You can’t buy or sell dogs in your community but they have groups that sell em stupid! Got reported for making a post saying “im looking to buy a dog” and now I can’t use my Facebook for a day🤬 messenger barely works already as it is never again will I get Facebook! It’s trash!,1
30,A error message keeps popping up on my screen and I can’t log on the Facebook app 🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️ help ???,0
31,I’ve been on Facebook for about a year now and I’ve never had problems logging on. Recently I’ve gotten a new phone and the app just takes me on a constant loop of uploading my ID and adding an email address. Once I provide that information the app informs me that it’s going to log me out. When I try to log in again I have to go through the same process of providing my ID and email. Jesus guys.,0
32,"I have my active status off but now with the ‘rooms’ feature everyone can see if you’re online so pointless - please remove this.
Also, when posting a pic I can’t access my albums anymore",0
33,"Just had the latest update on my iPad Pro, now the back button top left doesn’t do anything. Fix this annoying bug please",0
34,Make the damn Spotify preview work properly!! It’s constantly temperamental..and since the last 2 updates has stopped working completely,0
35,"As of 02/11/20 the app keeps freezing on an Iphone 10 (latest update).

Whenever I try to react to a post the entire app freezes and forces me to restart the app which ruins the entire experince.",0
36,Since update the tool bar and back arrow does not function.  I have a iPad,0
37,It’s now required to select which option you would like your photos to be shared since the latest update. The update froze the “photo access” making it unable to select an option & post from my camera roll. 😡,1
38,This sounds like someone I know lol !! Ha,0
39,I randomly got logged out of my account and the only way to log back in is getting a code from a number I no longer have. I followed the link offered to get help and after filling out the form I says the link is broken or the page is missing. What is going on? I usually love Facebook but I’m very unhappy right now and there’s no customer support to contact.,0
40,"All the buttons (except the search box) at the top of the screen suddenly do not work. You can’t click < “Back” to go back. Can’t click on Messenger, nothing. Also, if you try to crop a photo before posting it, the posted version isn’t cropped!",1
41,Porque no me aparece la opción de Facebook parejas,0
42,"The last update leaves a “back” arrow at the top left of the screen that will not work.  <  ...this is frustrating to say the least , especially when you are in a page and need to go back, the button just doesn’t work!",1
43,Title says it all.,0
44,"I have always been so pleased with the Facebook App, however, when my iPad operating system last updated, the app didn’t catch up.  I have deleted and reloaded the app numerous times.  I have checked every possible setting, but still bugs, bugs, bugs.  Several of the blue tab features at the top will only work when reloaded, but just for one opportunity.  I hope this can be remedied soon.  Thank you!",1
45,"I get ""kicked off"" arbitrarily when viewing pics.",0
46,Saved videos dont play past 10 seconds and wont scroll to the next one,0
47,So I posted something that goes against policy and got a 24 hour ban could not challenge it. And now it’s been 24 hours and I can’t log on at all. When I try logging on it says I have 24 hour ban  I hit continue button and get another message that I can’t log on and Facebook is working on the problem yet my wife can log on no problem What gives? Also tried to creat new account and can’t do that ether,0
48,My iPhone is not letting me use Facebook with my cellular data,0
49,"as the title says.
trash.

the poorman's social media platform.
trash.

the place grandma goes to post a rage face and call it comedy.
trash.

y'all are lucky that FB is still as popular in 3rd world countries, since it's one of the only reliable ways to send cheap texts. nonetheless.
trash.

data leak scandals, political influencing, rampant bot account issues, lack of transparency & security of user data. 
(say it with me,) trash.",0
50,That’s all I need to say,0
51,"No privacy, and doesn’t work at nights, nothing would load.",0
52,I would love to have dark mode. I’m sure millions of other would love to too.,1
53,"For the love of god, make dark mode available to us.",0
54,"I’m becoming overly annoyed that none of my pictures and videos will upload...I’ve been waiting now 5 hours for 5 pictures to load and it won’t work! Plus this isn’t the first my this scraps happened.

However many days later it still can’t post a group of pictures of myself....really but y’all let the group of pictures of my kids load and post. Doesn’t make any sense....",0
55,"I want the new dark mode Facebook, but every time I go to check to see if I can do it, the option isn’t there. My app is so called “up to date”, but I still don’t have the option!",0
56,"Last night, the FB app and icon spontaneously disappeared from my phone. I reloaded from App Store, but it continues to be gone. What’s happening?",0
57,This is app gets worse and worse each year. Yesterday I was “temporarily blocked” for 24 hrs but was somehow kicked off of my page. The 24 hrs have passed and I have still not been allowed to even long into my page let alone being able to post anything. Everything I have from my son being born and so forth is on my Facebook and messenger and now I can’t access any of it. I hate Mark and Facebook as a whole.,0
58,"Esta app quiere borrar explícito. El App, quiere actualización.",0
59,Facebook has become a censored tool for left-wing politics. Algorithms and moderating filter out dissenting opinions from the left-wing ideology of the liberal Facebook team. Stop using this app and show Facebook they must change.,0
60,...since last update. Also display for iPad looks small like for phone. what happened?  please fix.,0
61,Can’t go back once I click on a post.,0
62,"FB is a left leaning app that makes Trump supporters’ lives miserable. They approve and allow porn and violence, while banning real truth. They replaced the Lifelog app which was a DARPA project, a spy program. I can’t wait till it goes away or gets taken over by good people.",0
63,"The latest updates to FB on my late generation iPad has the little left back arrow not working at all. Then today a person’s name I don’t know but she’s in a group I’m it, appeared next to the back button and has been there through reboots, etc. Whoa, this app needs some work!",0
64,I’m curious as to why Facebook App in the App Store says the app is 248MB but when looking to free up space on iphone it shows Facebook App taking 76GB of space??? How does that happen and what is it that Facebook is installing on phone without permission???,0
65,O sea w m bloquearon 4 cuentas y no m dejan entrar a mi cuenta😿😿😿😿😿😿,0
66,"After several updates, Facebook app has been rendered useless with inability to function like a normal app. Can't access messenger from app, can't tap on back button, can't access my profile page, can't see squats going in Settings for unknown reason the box is extremely small end hard to navigate.",0
67,Amazing.,0
68,"Are “We The People” living in a Free America anymore?!?!? What happened to Freedom of Speech!?!?! Who are you to say what we can share with our Friends & Family or not?? Are you Doctors, Scientists, or geniuses?? I think not....how can you say that something is “False Information” without some sort of degree to back it up?? Do we have High Schoolers and College Students as Fact Checkers?? Maybe that’s your problem!",0
69,"Of course love it, but we need a dark mode plsss",1
70,I hate it,1
71,FACEBOOKS SUGGESTED FOR YOU ARTICLES HAD A MANDALORIAN SPOILER IN THE TITLE,0
72,I can’t search for friends.,0
73,iPad Pro iOS 14 back button not working. I can’t tap back,0
74,"Unable to create a status activity “watching” for movies or tv shows as the option is now missing!

Sort feed by most recent is now being hidden away in the see more setting and instead items like “dating” and “jobs” are being prioritised in the menu screen. 

News feed is terrible showing posts from days ago.

The new page for Facebook groups is awful showing a mixture of all groups instead of being better like it was before and actually showing me a page with all of the groups I am in and letting me choose which one I want.

Honestly it is prime time for other social media sites to take advantage of this poorly  designed and out of touch platform that prioritises adverts and marketing over the user experience.",0
75,"On iPad 12, navigation on top bar don’t work. If go to comments or notifications can’t get back to post or menu.",0
